Aptitude,Coding,Communication,Academics,Internship,Placed
45,40,50,55,0,0
50,42,48,58,0,0
55,50,52,60,0,0
60,55,58,62,0,0
62,60,60,64,1,1
65,62,63,66,1,1
68,65,65,68,1,1
70,68,70,70,1,1
72,70,72,72,1,1
75,74,75,75,1,1
78,76,78,77,1,1
80,80,80,80,1,1
40,35,45,50,0,0
42,38,46,52,0,0
48,45,50,56,0,0
52,50,55,60,0,0
58,56,57,61,0,0
63,60,61,65,1,1
67,64,66,67,1,1
71,69,71,73,1,1
74,72,74,74,1,1
77,75,76,78,1,1
82,81,82,83,1,1
85,84,85,85,1,1
46,44,47,54,0,0
53,49,54,59,0,0
57,54,56,60,0,0
61,59,60,63,1,1
66,63,64,66,1,1
69,67,68,69,1,1
73,71,73,72,1,1
76,74,75,76,1,1
79,78,79,79,1,1
83,82,83,84,1,1
44,39,43,53,0,0
47,43,49,57,0,0
54,51,53,61,0,0
59,57,59,62,1,1
64,61,62,65,1,1
72,73,74,71,1,1
